ru,pt
я ,EU 
не ,Não 
что ,O que 
в ,V 
и ,E 
ты ,Você 
это ,Esse 
на ,sobre 
с ,Com 
он ,Ele 
мы ,Nós 
как ,Como 
вы ,Você 
да ,Sim 
мне ,para mim 
у ,no 
нет ,Não 
меня ,meu 
так ,Então 
но ,Mas 
а ,UM 
его ,dele 
все ,Todos 
она ,ela 
тебя ,você 
о ,O 
если ,Se 
за ,para 
бы ,seria 
тебе ,você 
они ,Eles 
чтобы ,para 
же ,mesmo 
есть ,Há 
просто ,Apenas 
из ,de 
к ,Para 
для ,Para 
ну ,Bem 
когда ,Quando 
хорошо ,Multar 
здесь ,Aqui 
по ,Por 
был ,era 
знаю ,Eu sei 
то ,Que 
только ,apenas 
всё ,Todos 
было ,era 
вас ,você 
может ,Talvez 
нас ,nós 
вот ,Aqui 
от ,de 
быть ,ser 
кто ,Quem 
будет ,vai 
почему ,Por que 
вам ,para você 
их ,deles 
очень ,Muito 
могу ,Pode 
уже ,já 
спасибо ,Obrigado 
или ,ou 
нам ,nós 
еще ,mais 
там ,lá 
нужно ,precisa 
сейчас ,Agora 
где ,Onde 
чем ,como 
хочу ,Querer 
ничего ,Nada 
этого ,esse 
была ,era 
мой ,meu 
ее ,dela 
ладно ,OK 
знаешь ,Você sabe 
п ,p 
до ,para 
этом ,esse 
потому ,É por isso 
теперь ,Agora 
думаю ,Pensar 
больше ,mais 
её ,dela 
со ,com 
раз ,uma vez 
ему ,para ele 
надо ,necessário 
время ,tempo 
этот ,esse 
ли ,li 
ещё ,mais 
пока ,Tchau 
даже ,até 
привет ,Olá 
сказал ,disse 
себя ,eu mesmo 
должен ,deve 
тоже ,Mesmo 
хочешь ,Querer 
давай ,Vamos 
что-то ,algo 
никогда ,nunca 
эй ,Ei 
того ,Ir 
тогда ,Então 
него ,ele 
ни ,não 
тут ,aqui 
были ,eram 
конечно ,Certamente 
правда ,Verdade 
об ,sobre 
моя ,meu 
пожалуйста ,Por favor 
тобой ,você 
сказать ,dizer 
сегодня ,Hoje 
один ,um 
лучше ,melhorar 
можешь ,pode 
сюда ,aqui 
мной ,meu 
значит ,Significa 
сделать ,fazer 
всегда ,Sempre 
дело ,caso 
можно ,Pode 
ей ,para ela 
должны ,deve 
порядке ,em ordem 
без ,sem 
день ,dia 
том ,volume 
буду ,vai 
делать ,fazer 
хотел ,desejado 
чего ,o que 
эти ,esses 
много ,muitos 
после ,depois 
этим ,esse 
всего ,total 
во ,em 
твой ,seu 
ним ,ele 
лет ,anos 
боже ,Deus 
них ,eles 
сэр ,senhor 
ведь ,afinal 
мистер ,senhor 
жизнь ,vida 
потом ,Então 
ней ,dela 
такой ,tal 
который ,qual 
всех ,todos 
через ,através 
им ,eles 
возможно ,Talvez 
немного ,Um pouco 
такое ,tal 
слишком ,demais 
себе ,para você mesmo 
зачем ,Para que 
должна ,deve 
моей ,meu 
люди ,Pessoas 
знаете ,você sabe 
этой ,esse 
думаешь ,você acha 
свою ,meu 
точно ,exatamente 
человек ,Humano 
твоя ,seu 
под ,sob 
сказала ,disse 
назад ,voltar 
из-за ,por causa de 
эту ,Este 
можем ,Pode 
случилось ,ocorrido 
мама ,Mãe 
мог ,poderia 
вместе ,junto 
отец ,pai 
сделал ,fez 
мои ,meu 
кажется ,Parece 
друг ,Amigo 
куда ,Onde 
никто ,ninguém 
поэтому ,É por isso 
эта ,esse 
которые ,qual 
два ,dois 
тот ,Que 
сколько ,Quantos 
понимаю ,Entender 
снова ,de novo 
жизни ,vida 
нравится ,como 
людей ,pessoas 
помочь ,ajuda 
видел ,serra 
люблю ,Eu amo 
хочет ,quer 
место ,lugar 
знать ,saber 
кто-то ,alguém 
прости ,me perdoe 
отлично ,Ótimo 
похоже ,Parece que 
парень ,garoto 
домой ,lar 
всем ,para todos 
деньги ,dinheiro 
иди ,ir 
времени ,tempo 
дома ,Casas 
именно ,exatamente 
доктор ,doutor 
думал ,pensamento 
говорил ,falou 
делаешь ,você está fazendo 
будем ,vamos 
прямо ,diretamente 
стоит ,custos 
поговорить ,falar 
найти ,encontrar 
разве ,realmente 
слушай ,Ouvir 
своей ,dele 
лишь ,apenas 
ага ,sim 
можете ,você pode 
простите ,Desculpe 
хотела ,desejado 
сам ,eu mesmo 
что-нибудь ,algo 
тем ,temas 
будешь ,você será 
прошу ,por favor 
три ,três 
деле ,negócios 
хотите ,você quer 
говорить ,falar 
давайте ,Vamos 
совсем ,de forma alguma 
знал ,sabia 
знает ,sabe 
какой ,Qual 
моего ,meu 
скажи ,Dizer 
дом ,casa 
дела ,assuntos 
вами ,você 
свои ,deles 
ж ,e 
говорит ,fala 
несколько ,alguns 
должно ,deve 
про ,sobre 
ваш ,seu 
происходит ,está acontecendo 
жаль ,é uma pena 
туда ,lá 
действительно ,realmente 
папа ,pai 
завтра ,Amanhã 
оно ,isto 
черт ,besteira 
одна ,um 
перед ,antes 
наш ,nosso 
уверен ,claro 
отсюда ,daqui 
нужна ,necessário 
самом ,em si mesmo 
тех ,aqueles 
нужен ,necessário 
свой ,meu 
мою ,meu 
кого ,a quem 
верно ,certo 
работу ,trabalhar 
каждый ,todo 
твоей ,seu 
будут ,vai ser 
хватит ,suficiente 
понял ,Entendido 
нее ,não 
уж ,já 
имя ,Nome 
против ,contra 
кое-что ,algo 
пор ,poro 
чём ,como 
раньше ,mais cedo 
говорю ,Eu digo 
более ,mais 
надеюсь ,Ter esperança 
итак ,Então 
при ,no 
ваша ,seu 
вообще ,de forma alguma 
пошли ,foi 
мать ,mãe 
нельзя ,é proibido 
наверное ,Talvez 
нами ,nós 
твои ,seu 
могли ,poderia 
дай ,dar 
ради ,por causa de 
всю ,todos 
ребята ,Pessoal 
ко ,para 
хотя ,Embora 
понимаешь ,entender 
идти ,ir 
этих ,esses 
откуда ,onde 
такая ,tal 
ясно ,Está claro 
другой ,outro 
извините ,Desculpe 
вижу ,Eu vejo 
видеть ,ver 
над ,sobre 
могут ,pode 
равно ,é igual a 
мисс ,Perder 
скоро ,breve 
будто ,como se 
зовут ,nome é 
виду ,visualizar 
наши ,nosso 
думала ,Eu pensei 
послушай ,ouvir 
между ,entre 
своего ,o seu próprio 
вопрос ,pergunta 
этому ,para isso 
почти ,quase 
года ,anos 
человека ,humano 
которая ,qual 
подожди ,Espere 
руки ,mãos 
нормально ,Multar 
такие ,tal 
возьми ,pegue isso 
минут ,minutos 
извини ,desculpe 
вещи ,coisas 
могла ,poderia 
смотри ,Olhar 
хоть ,pelo menos 
работа ,Trabalho 
пару ,casal 
сын ,filho 
ваше ,seu 
дня ,dias 
пора ,está na hora 
неё ,dela 
жить ,ao vivo 
видишь ,você vê 
достаточно ,suficiente 
господи ,Deus 
быстро ,rápido 
твою ,seu 
весь ,todos 
убить ,matar 
ночь ,noite 
говоришь ,você diz 
собой ,sozinho 
скажу ,Eu vou te contar 
готов ,preparar 
слышал ,ouviu 
какая ,qual 
посмотри ,olhar 
первый ,primeiro 
самое ,o mais 
видела ,serra 
пусть ,deixar 
месте ,lugar 
нашли ,encontrado 
сказали ,eles disseram 
плохо ,Seriamente 
смогу ,Eu posso 
ваши ,seu 
отца ,pai 
детей ,crianças 
знаем ,nós sabemos 
рад ,alegre 
прав ,certo 
никаких ,nenhum 
имею ,Eu tenho 
миссис ,Sra. 
иногда ,Às vezes 
смерти ,morte 
своих ,seus próprios 
пойду ,Eu vou 
брат ,Irmão 
вроде ,como 
рядом ,aproximar 
мир ,mundo 
произошло ,ocorrido 
которую ,qual 
сделала ,fez 
говорила ,disse 
знала ,sabia 
мое ,meu 
одного ,um 
таким ,assim 
помощь ,ajuda 
такого ,tal 
кем ,por quem 
насчет ,sobre 
вчера ,ontem 
случае ,caso 
увидеть ,ver 
нашей ,nosso 
говорят ,Eles dizem 
правильно ,Certo 
убил ,morto 
одно ,um 
пойти ,ir 
друга ,amigo 
сама ,ela mesma 
долго ,por muito tempo 
работать ,trabalhar 
дверь ,porta 
делает ,faz 
женщина ,mulher 
важно ,importante 
кроме ,exceto 
будь ,ser 
собираюсь ,vou 
вашей ,seu 
нужны ,necessário 
здорово ,Ótimo 
номер ,número 
проблема ,problema 
проблемы ,problemas 
денег ,dinheiro 
чёрт ,besteira 
хороший ,bom 
твоего ,seu 
одну ,um 
дальше ,avançar 
вернуться ,voltar 
давно ,por muito tempo 
последний ,durar 
ночи ,noites 
узнать ,saber 
уверена ,claro 
машину ,carro 
права ,direitos 
пять ,cinco 
моих ,meu 
также ,Também 
тому ,para isso 
вечером ,À noite 
дети ,crianças 
опять ,de novo 
вообще-то ,na verdade 
серьезно ,seriamente 
работает ,funciona 
своим ,o seu próprio 
сначала ,inicialmente 
две ,dois 
одной ,um 
моим ,meu 
те ,aqueles 
жена ,esposa 
думаете ,você acha 
помнишь ,você se lembra? 
глаза ,olhos 
ними ,eles 
чувак ,cara 
ночью ,à noite 
чувствую ,sentir 
взять ,pegar 
сразу ,imediatamente 
утром ,pela manhã 
часть ,Papel 
придется ,terá que 
стать ,tornar-se 
идея ,ideia 
дорогая ,Caro 
прекрасно ,Maravilhoso 
слова ,palavras 
сделали ,fez 
видели ,serra 
наша ,nosso 
сердце ,coração 
помню ,Eu lembro 
парня ,cara 
момент ,momento 
утро ,manhã 
здравствуйте ,Olá 
стал ,tornou-se 
скорее ,mais rápido 
ох ,Oh 
большой ,grande 
кто-нибудь ,alguém 
часов ,horas 
год ,ano 
друзья ,Amigos 
сильно ,fortemente 
говори ,falar 
смысле ,significado 
которой ,qual 
уйти ,deixar 
которого ,a quem 
капитан ,capitão 
работы ,funciona 
любовь ,Amor 
дочь ,filha 
новый ,novo 
боюсь ,Estou com medo 
имеет ,tem 
стой ,parar 
дней ,dias 
той ,que 
голову ,cabeça 
ах ,Oh 
столько ,tantos 
понятно ,Está claro 
дать ,dar 
девушка ,mulher jovem 
довольно ,suficiente 
доме ,em casa 
вечер ,noite 
оба ,ambos 
пойдем ,vamos 
увидимся ,vê você 
шанс ,chance 
хорошая ,bom 
прежде ,antes 
сделаю ,eu farei 
какого ,o que 
быстрее ,mais rápido 
понять ,entender 
рассказать ,dizer 
вашего ,seu 
бог ,Deus 
интересно ,Interessante 
затем ,então 
умер ,morreu 
обо ,sobre 
никого ,ninguém 
парни ,pessoal 
самый ,maioria 
твое ,seu 
вон ,fora 
пришел ,veio 
чтоб ,para que 
поверить ,acreditar 
слово ,palavra 
будете ,você será 
нашел ,encontrado 
милая ,Querido 
странно ,Esquisito 
какие ,qual 
ой ,Ai 
та ,ta 
однажды ,um dia 
сможешь ,você pode 
получить ,pegar 
обычно ,geralmente 
ума ,mente 
полагаю ,Eu suponho 
алло ,Olá 
посмотреть ,olhar 
иначе ,de outra forma 
наших ,nosso 
тело ,corpo 
хотели ,desejado 
свое ,seu próprio 
пришли ,veio 
моё ,meu 
другие ,outro 
выглядит ,parece que 
подумал ,pensamento 
лицо ,face 
приятно ,Legal 
мам ,mãe 
говорите ,falar 
обратно ,voltar 
нашего ,nosso 
телефон ,telefone 
мире ,mundo 
честь ,honra 
господин ,senhor 
доброе ,Tipo 
план ,plano 
другом ,amigo 
час ,hora 
джон ,John 
пути ,caminhos 
делал ,fez 
типа ,tipo 
посмотрим ,Vamos ver 
насколько ,tão longe quanto 
пытался ,testado 
правду ,a verdade 
решил ,decidiu 
поздно ,tarde 
нем ,Alemão 
работе ,trabalhar 
любит ,ama 
хотят ,querer 
кому ,para quem 
сестра ,irmã 
какой-то ,alguns 
места ,lugares 
кого-то ,alguém 
скажешь ,você dirá 
следующий ,próximo 
других ,outros 
получил ,recebido 
кстати ,Por falar nisso 
говорили ,eles disseram 
пришла ,veio 
безопасности ,segurança 
рада ,alegre 
когда-нибудь ,algum dia 
город ,cidade 
внимание ,atenção 
кофе ,café 
которое ,qual 
вся ,todos 
семья ,família 
конец ,fim 
позже ,Mais tarde 
дал ,deu 
думать ,pensar 
спать ,dormir 
вернулся ,voltou 
остаться ,ficar 
некоторые ,alguns 
кровь ,sangue 
оружие ,arma 
пришлось ,teve que 
хуже ,pior 
дорогой ,Caro 
полиция ,polícia 
сможем ,pudermos 
понимаете ,você entende? 
четыре ,quatro 
которых ,qual 
ужасно ,terrível 
ждать ,espere 
способ ,caminho 
делаю ,Eu faço 
готовы ,preparar 
совершенно ,absolutamente 
смотреть ,olhar 
вернусь ,Eu voltarei 
большое ,grande 
единственный ,o único 
вперед ,avançar 
часа ,horas 
где-то ,em algum lugar 
муж ,marido 
идет ,está chegando 
таких ,tal 
ребенка ,criança 
машина ,carro 
стороны ,lados 
смог ,poluição atmosférica 
сына ,filho 
играть ,jogar 
сами ,nós mesmos 
верю ,Eu acredito 
честно ,Honestamente 
нашла ,encontrado 
звучит ,sons 
угодно ,o que você quiser 
как-то ,de alguma forma 
руку ,mão 
начала ,começo 
перевод ,tradução 
какое ,qual 
взял ,pegou 
станет ,se tornará 
пытаюсь ,Estou tentando 
внутри ,dentro 
знали ,sabia 
новости ,notícias 
добрый ,Tipo 
подождите ,Espere 
скажите ,Dizer 
ребенок ,criança 
вашу ,seu 
мальчик ,garoto 
осталось ,esquerda 
делаете ,você faz 
году ,ano 
мере ,medir 
поняла ,Entendido 
отношения ,relação 
далеко ,distante 
вокруг ,em volta 
хотим ,nós queremos 
слышала ,ouvi 
двух ,dois 
приятель ,companheiro 
никому ,para ninguém 
мужчина ,homem 
неделю ,semana 
вернуть ,retornar 
смерть ,morte 
сих ,esses 
ту ,que 
сможет ,será capaz de 
the ,o 
дайте ,dar 
двое ,dois 
видите ,você vê 
долларов ,dólares 
крови ,sangue 
решение ,solução 
путь ,caminho 
следует ,segue 
неужели ,realmente 
около ,aproximar 
готова ,preparar 
семьи ,famílias 
идем ,vamos 
смотрите ,olhar 
круто ,Legal 
история ,história 
вдруг ,de repente 
спросить ,perguntar 
i ,eu 
твоих ,seu 
второй ,segundo 
вина ,culpa 
джек ,Jack 
женщины ,mulheres 
нашу ,nosso 
заткнись ,cale-se 
минуту ,minuto 
собираешься ,você vai 
твоим ,seu 
шоу ,mostrar 
прощения ,perdão 
больно ,ferir 
машины ,carros 
пап ,pai 
трудно ,difícil 
постоянно ,constantemente 
поможет ,vai ajudar 
проблем ,problemas 
например ,Por exemplo 
дерьмо ,merda 
полиции ,polícia 
начать ,começar 
знают ,saber 
лучший ,melhor 
добро ,bom 
спасти ,salvar 
рождения ,aniversário 
оставить ,deixar 
чарли ,Charlie 
любишь ,você ama 
конце ,no final 
забыл ,esquecido 
месяцев ,meses 
часто ,muitas vezes 
мило ,bonitinho 
комнате ,sala 
нему ,ele 
матери ,mães 
милый ,Bonitinho 
полностью ,completamente 
школе ,escola 
леди ,senhora 
серьёзно ,seriamente 
убили ,morto 
случай ,acontecendo 
джо ,Joe 
убийство ,assassinato 
послушайте ,ouvir 
посмотрите ,olhar 
пошел ,foi 
никакого ,nenhum 
сделаем ,vamos fazê-lo 
говоря ,Falando 
неплохо ,nada mal 
использовать ,usar 
прошлой ,durar 
иду ,Estou chegando 
узнал ,descobri 
прекрати ,pare com isso 
чуть ,um pouco 
держи ,aqui você vai 
невозможно ,impossível 
